radio_flux_10.7cm_t5;radio_flux_10.7cm_t4;radio_flux_10.7cm_t3;radio_flux_10.7cm_t2;radio_flux_10.7cm_t1;sesc_sunspot_number_t5;sesc_sunspot_number_t4;sesc_sunspot_number_t3;sesc_sunspot_number_t2;sesc_sunspot_number_t1;sunspot_area_t5;sunspot_area_t4;sunspot_area_t3;sunspot_area_t2;sunspot_area_t1;goes15_xray_bkgd_flux_t5;goes15_xray_bkgd_flux_t4;goes15_xray_bkgd_flux_t3;goes15_xray_bkgd_flux_t2;goes15_xray_bkgd_flux_t1;z_component_wmfr_t5;z_component_wmfr_t4;z_component_wmfr_t3;z_component_wmfr_t2;z_component_wmfr_t1;p_component_wmfr_t5;p_component_wmfr_t4;p_component_wmfr_t3;p_component_wmfr_t2;p_component_wmfr_t1;c_component_wmfr_t5;c_component_wmfr_t4;c_component_wmfr_t3;c_component_wmfr_t2;c_component_wmfr_t1;mag_type_wmfr_t5;mag_type_wmfr_t4;mag_type_wmfr_t3;mag_type_wmfr_t2;mag_type_wmfr_t1;flare_t3do
0.975820;1.094753;0.880674;0.904460;1.237473;1.669458;0.962255;1.398614;0.766645;1.473849;0.377395;0.085204;-0.052298;-0.172613;0.480522;0.496828;0.825650;0.696981;0.739871;0.782761;1.703362;2.188073;1.378102;1.370783;1.057717;1.687495;2.271107;1.336355;1.336355;1.049586;1.593000;2.132248;1.380885;1.438604;1.130500;1.652995;2.087597;1.359037;1.405456;1.080552;1.000000
-1.069829;-1.093616;-1.069829;-1.069829;-1.117402;-0.993841;-0.993841;-0.993841;-1.008888;-1.008888;-0.894499;-0.911686;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-0.998322;-1.009329;-1.009329;-1.009329;-1.238181;-1.005711;-1.005711;-1.005711;-1.005711;-1.257428;-0.987804;-1.007044;-1.007044;-1.007044;-1.243321;-0.979955;-0.995428;-0.995428;-0.995428;0.000000
0.642807;0.785527;0.690381;0.595234;0.595234;0.721504;0.661317;0.887020;1.067583;0.345332;0.841465;0.394583;0.291457;0.274269;0.153955;0.754167;0.482532;0.382455;0.325269;0.253786;1.418538;1.104951;1.247415;1.389157;1.561516;1.336394;1.033306;1.107006;1.285179;1.546379;1.361855;1.092231;1.092231;1.342615;1.612030;1.328445;1.065080;1.065080;1.312973;1.545393;1.000000
-0.808176;-0.831963;-0.808176;-0.808176;-0.808176;-0.768137;-0.798231;-1.174403;-0.768137;-0.768137;-0.516368;-0.224176;-0.911686;-0.860123;-0.868717;-0.522521;-0.516802;-0.501076;-0.471053;-0.516802;-0.695742;-0.695742;-0.695742;-1.235247;-0.739481;-0.722025;-0.722025;-0.722025;-1.238181;-0.750716;-0.699150;-0.737420;-0.737420;-1.257428;-0.718180;-0.732062;-0.732062;-0.732062;-1.243321;-0.716590;0.000000
0.095715;0.167075;0.119502;0.000569;0.024355;-0.106074;0.149723;-0.060934;0.074488;-0.181309;-0.413241;0.205518;0.068016;0.257081;0.119579;-0.103630;-0.132223;-0.175113;-0.017850;0.039336;-0.145848;-0.193082;0.164293;-0.061625;0.168405;-0.164021;-0.212113;0.029698;-0.225258;0.289515;-0.102392;-0.102392;0.128753;-0.159902;0.128753;-0.189858;-0.189858;0.042562;-0.205331;0.042562;1.000000
-0.950896;-0.950896;-0.927109;-0.879536;-0.927109;-0.828325;-0.993841;-1.008888;-0.843372;-0.828325;-0.756996;-0.808560;-0.825748;-0.825748;-0.842935;-0.542536;-0.535388;-0.532528;-0.532528;-0.538247;-0.742976;-0.742976;-0.979900;-0.979900;-0.753983;-0.747633;-0.747633;-0.980103;-0.980103;-0.750716;-0.737420;-0.737420;-1.007044;-1.007044;-0.756659;-0.732062;-0.732062;-0.995428;-0.995428;-0.747535;0.000000
-0.760603;-0.808176;-0.855750;-0.927109;-0.903323;-0.692903;-0.828325;-0.798231;-0.753091;-0.768137;-0.241364;-0.361678;-0.499180;-0.413241;-0.481992;-0.548255;-0.559692;-0.563981;-0.562551;-0.548255;-0.695742;-0.695742;-0.721058;-0.721058;-0.721058;-0.507204;-0.718929;-0.484719;-0.699540;-0.741414;-0.699150;-0.699150;-0.737420;-0.737420;-0.737420;-0.732062;-0.732062;-0.732062;-0.732062;-0.732062;0.000000
-0.189724;-0.023218;0.071929;0.095715;0.333581;-0.617669;0.134676;0.315238;0.179816;0.571036;-0.533556;-0.396054;-0.086674;0.136767;0.188330;-0.289486;-0.189409;-0.160816;-0.246596;-0.103630;-0.239794;-0.436900;0.339625;0.310100;0.474626;-0.212074;-0.467030;0.377742;0.326528;0.329650;-0.236651;-0.467796;0.341077;0.360107;0.379347;-0.236276;-0.468697;0.321401;0.305928;0.321401;1.000000
-1.093616;-1.117402;-1.117402;-1.117402;-1.141189;-0.963747;-0.948700;-0.963747;-0.948700;-0.993841;-0.860123;-0.860123;-0.877311;-0.860123;-0.894499;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-0.721058;-0.976405;-0.998322;-0.998322;-0.998322;-0.725108;-0.980103;-1.005711;-1.005711;-1.005711;-0.737420;-0.987804;-0.987804;-0.987804;-0.987804;-0.732062;-0.979955;-0.979955;-0.979955;-0.979955;0.000000
-1.093616;-1.093616;-1.093616;-1.117402;-1.093616;-1.174403;-1.174403;-1.174403;-1.174403;-1.174403;-0.911686;-0.911686;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-1.235247;-1.235247;-1.238181;-1.238181;-1.238181;-1.238181;-1.238181;-1.257428;-1.257428;-1.257428;-1.257428;-1.257428;-1.243321;-1.243321;-1.243321;-1.243321;-1.243321;0.000000
